+60903867588.0ns 1 killed!
+62608083761.0ns 19 killed!
+64338710244.0ns 4 killed!
+64342780307.0ns 47 killed!
+65252189315.0ns 48 killed!
+65484784942.0ns 27 killed!
+67750253532.0ns 23 killed!
+67951884142.0ns 15 killed!
+68154348538.0ns 17 killed!
+70693098055.0ns 46 killed!
+71081426616.0ns 35 killed!
+71525836180.0ns 24 killed!
+72072272555.0ns 25 killed!
+72414014060.0ns 33 killed!
+76592013848.0ns 6 killed!
+77387623953.0ns 30 killed!
+79192304049.0ns 31 killed!
+79461832297.0ns 10 killed!
+79611038503.0ns 8 killed!
+79832989489.0ns 26 killed!
+80687654075.0ns 40 killed!
+81452268699.0ns 9 killed!
+82321411565.0ns 41 killed!
+88426232183.0ns 42 killed!
+88607483542.0ns 34 killed!
+88700334939.0ns 44 killed!
+93198418309.0ns 5 killed!
+93659658831.0ns 38 killed!
+93876463371.0ns 21 killed!
+95062340350.0ns 22 killed!
+95188706441.0ns 3 killed!
+103087567348.0ns 11 killed!

ori:
+58021418268.0ns 1 killed!
+60584990991.0ns 19 killed!
+61318303481.0ns 4 killed!
+62002051934.0ns 48 killed!
+62128980724.0ns 47 killed!
+62689271419.0ns 23 killed!
+63767809034.0ns 27 killed!
+63793398298.0ns 15 killed!
+66980406282.0ns 46 killed!
+70879560868.0ns 35 killed!
+71872004207.0ns 30 killed!
+72429084476.0ns 24 killed!
+74313939670.0ns 17 killed!
+75150548715.0ns 6 killed!
+75552607442.0ns 40 killed!
+75662517294.0ns 33 killed!
+76562115423.0ns 25 killed!
+76683692182.0ns 31 killed!
+77936191616.0ns 8 killed!
+78020204171.0ns 41 killed!
+78821279191.0ns 42 killed!
+79047343221.0ns 38 killed!
+79495267433.0ns 26 killed!
+79870527113.0ns 10 killed!
+79990070426.0ns 18 killed!
+79994943421.0ns 21 killed!
+80919530255.0ns 34 killed!
+81378126175.0ns 0 killed!
+82201404279.0ns 9 killed!
+85572463653.0ns 49 killed!
+86541916274.0ns 11 killed!
+86663901353.0ns 14 killed!
+86772321147.0ns 44 killed!
+88943438605.0ns 28 killed!
+98750549901.0ns 7 killed!

re:
+50196625153.0ns 1 killed!
+52345873747.0ns 48 killed!
+52623997899.0ns 19 killed!
+52867744873.0ns 4 killed!
+54877677430.0ns 47 killed!
+55972293629.0ns 23 killed!
+56221893117.0ns 40 killed!
+57002816486.0ns 15 killed!
+57347549375.0ns 30 killed!
+58330778493.0ns 27 killed!
+60151459596.0ns 35 killed!
+61130610069.0ns 25 killed!
+61501837685.0ns 17 killed!
+61625798667.0ns 33 killed!
+61645463538.0ns 24 killed!
+63359251824.0ns 31 killed!
+63844158746.0ns 46 killed!
+64494919896.0ns 6 killed!
+64652347707.0ns 8 killed!
+65719017450.0ns 34 killed!
+65825984840.0ns 11 killed!
+65853153837.0ns 38 killed!
+66182252429.0ns 10 killed!
+66829951544.0ns 21 killed!
+66911178301.0ns 26 killed!
+68725051407.0ns 28 killed!
+71401977151.0ns 9 killed!
+72226654075.0ns 14 killed!
+72328351933.0ns 42 killed!
+73271600701.0ns 5 killed!
+73379506489.0ns 22 killed!
+74295591662.0ns 0 killed!
+75241419001.0ns 41 killed!
+75390598081.0ns 44 killed!
+75564257756.0ns 3 killed!
+80425049495.0ns 18 killed!
+83103248453.0ns 49 killed!
+85821439964.0ns 45 killed!
+94916890704.0ns 7 killed!
+97428960815.0ns 20 killed!
+97576742887.0ns 2 killed!
+98188717000.0ns 32 killed!
+102427049376.0ns 43 killed!
+104438312029.0ns 36 killed!

ori:
+43649086789.0ns 1 killed!
+45609843649.0ns 4 killed!
+46007863405.0ns 48 killed!
+46339861677.0ns 40 killed!
+46934943530.0ns 30 killed!
+47154695256.0ns 19 killed!
+47418374457.0ns 23 killed!
+47850968901.0ns 47 killed!
+48266697008.0ns 15 killed!
+48280302886.0ns 27 killed!
+52370976454.0ns 38 killed!
+53020761282.0ns 46 killed!
+53425914720.0ns 21 killed!
+54050050042.0ns 28 killed!
+55464482084.0ns 35 killed!
+55739768693.0ns 31 killed!
+56002570713.0ns 24 killed!
+56450335743.0ns 8 killed!
+56922915869.0ns 0 killed!
+57799632890.0ns 25 killed!
+57941346157.0ns 11 killed!
+58212325037.0ns 14 killed!
+58819182611.0ns 42 killed!
+59406909150.0ns 17 killed!
+59620639828.0ns 34 killed!
+60058519501.0ns 33 killed!
+60324426412.0ns 6 killed!
+61907634790.0ns 20 killed!
+62499708235.0ns 18 killed!
+62851678182.0ns 10 killed!
+64656114475.0ns 26 killed!
+65330535605.0ns 41 killed!
+68091693564.0ns 22 killed!
+68890063146.0ns 7 killed!
+70342387338.0ns 9 killed!
+70796583545.0ns 32 killed!
+73256487576.0ns 49 killed!
+73518716114.0ns 5 killed!
+75301027847.0ns 44 killed!
+76794258843.0ns 3 killed!
+77294150102.0ns 43 killed!
+79422714901.0ns 37 killed!
+79428191816.0ns 16 killed!
+80925335098.0ns 36 killed!
+90498263877.0ns 2 killed!
+96054154271.0ns 45 killed!
