1.5 	 49 	 0.00396318
2 	 79 	 0.0298545
2.5 	 94 	 0.128277
3 	 89 	 0.0949949
3.5 	 107 	 0.131171
4 	 79 	 0.0555452
4.5 	 104 	 0.0359877
5 	 80 	 0.0360477
5.5 	 102 	 0.0949317
6 	 121 	 0.177664
6.5 	 147 	 0.128678
7 	 100 	 0.0972324
7.5 	 101 	 0.0782998
8 	 66 	 0.00409152
8.5 	 83 	 0.0364357
9 	 92 	 0.0953895
9.5 	 72 	 0.0973961
10 	 87 	 0.0805278
10.5 	 69 	 0.0650692
11 	 56 	 0.0769757
11.5 	 69 	 0.0877403
12 	 60 	 0.128445
12.5 	 65 	 0.100795
13 	 54 	 0.0953874
13.5 	 60 	 0.139869
14 	 51 	 0.193061
14.5 	 53 	 0.0837498
15 	 49 	 0.059637
15.5 	 31 	 0.0950442
16 	 29 	 0.0662874
16.5 	 25 	 0.0980564
17 	 7 	 0.130886
17.5 	 23 	 0.289269
18 	 11 	 0.155298
18.5 	 7 	 0.339335
19 	 2 	 0.316411
19.5 	 2 	 0.536008
20 	 13 	 0.260488
20.5 	 17 	 0.42545
21 	 28 	 0.335804
21.5 	 34 	 0.278793
22 	 51 	 0.245948
22.5 	 76 	 0.194704
23 	 61 	 0.184819
23.5 	 96 	 0.265343
24 	 57 	 0.104422
24.5 	 65 	 0.0683986
25 	 45 	 0.0798617
25.5 	 55 	 0.0742845
26 	 22 	 0.047244
26.5 	 32 	 0.487535
27 	 53 	 0.0338363
27.5 	 78 	 0.0899188
28 	 33 	 0.0683804
28.5 	 73 	 0.0611469
29 	 66 	 0.0111155
29.5 	 45 	 0.0564607
30 	 36 	 0.0959652
30.5 	 20 	 0.0925935
31 	 47 	 0.118716
31.5 	 28 	 0.0300373
32 	 25 	 0.0567668
32.5 	 39 	 0.0511755
33 	 28 	 0.0425083
33.5 	 94 	 0.119709
34 	 63 	 0.0927132
34.5 	 95 	 0.191006
35 	 54 	 0.0747647
35.5 	 52 	 0.100631
36 	 77 	 0.103434
36.5 	 67 	 0.0117174
37 	 82 	 0.059896
37.5 	 69 	 0.03032
38 	 71 	 0.0926936
38.5 	 61 	 0.0159289
39 	 47 	 0.105118
39.5 	 48 	 0.112751
40 	 67 	 0.0355856
40.5 	 62 	 0.0792167
41 	 51 	 0.0942116
41.5 	 46 	 0.122912
42 	 93 	 0.0952052
42.5 	 64 	 0.138976
43 	 65 	 0.175322
43.5 	 82 	 0.12322
44 	 75 	 0.0619954
44.5 	 51 	 0.033641
45 	 47 	 0.0146555
45.5 	 47 	 0.00485687
46 	 28 	 0.0347817
46.5 	 49 	 0.012402
47 	 53 	 0.0415528
47.5 	 19 	 0.0216672
48 	 4 	 0.0311802
48.5 	 0 	 0
49 	 0 	 0
49.5 	 0 	 0
50 	 29 	 0.00572921
50.5 	 20 	 0.0029214
51 	 20 	 0.00134235
51.5 	 20 	 0.00028675
52 	 20 	 0.00028685
52.5 	 20 	 0.0002867
53 	 19 	 0.000663053
53.5 	 21 	 0.00209267
54 	 20 	 0.0008507
54.5 	 20 	 0.0002869
55 	 20 	 0.00028685
55.5 	 20 	 0.0004644
56 	 20 	 0.0005288
56.5 	 24 	 0.00603171
57 	 95 	 0.0253912
57.5 	 53 	 0.0119005
58 	 39 	 0.00594559
58.5 	 20 	 0.00462865
59 	 19 	 0.00383089
59.5 	 2 	 0.0884705
60 	 14 	 0.0220937
60.5 	 20 	 0.0042514
61 	 20 	 0.00467485
61.5 	 20 	 0.00596325
62 	 15 	 0.0240385
62.5 	 3 	 0.0875143
63 	 26 	 0.00652915
63.5 	 25 	 0.00343932
64 	 14 	 0.000445143
64.5 	 7 	 0.163751
65 	 14 	 0.000287
65.5 	 0 	 0
66 	 0 	 0
66.5 	 0 	 0
67 	 0 	 0
67.5 	 0 	 0
68 	 0 	 0
68.5 	 0 	 0
69 	 0 	 0
69.5 	 0 	 0
70 	 13 	 0.00100831
70.5 	 20 	 0.00028685
71 	 96 	 0.000852729
71.5 	 53 	 0.00138872
72 	 40 	 0.00160735
72.5 	 20 	 0.00036615
73 	 20 	 0.0006493
73.5 	 28 	 0.00155671
74 	 40 	 0.00209693
74.5 	 40 	 0.0022402
75 	 38 	 0.00256268
75.5 	 44 	 0.00366332
76 	 54 	 0.0116123
76.5 	 68 	 0.0328086
77 	 58 	 0.00235421
77.5 	 63 	 0.0155082
78 	 65 	 0.0226123
78.5 	 58 	 0.0143131
79 	 40 	 0.00213695
79.5 	 39 	 0.00556144
80 	 63 	 0.00979321
80.5 	 32 	 0.0846186
81 	 67 	 0.230682
81.5 	 58 	 0.131458
82 	 48 	 0.0116403
82.5 	 21 	 0.017589
83 	 20 	 0.0011297
83.5 	 30 	 0.00686433
84 	 43 	 0.0287663
84.5 	 75 	 0.11871
85 	 38 	 0.0150056
85.5 	 45 	 0.0451145
86 	 66 	 0.150342
86.5 	 53 	 0.0624934
87 	 31 	 0.029636
87.5 	 68 	 0.147717
88 	 39 	 0.0294791
88.5 	 31 	 0.142161
89 	 37 	 0.179639
89.5 	 20 	 0.00083805
90 	 47 	 0.0258384
90.5 	 65 	 0.030262
91 	 28 	 0.04413
91.5 	 56 	 0.0288885
92 	 27 	 0.00457933
92.5 	 53 	 0.0735588
93 	 40 	 0.0034521
93.5 	 41 	 0.00709712
94 	 58 	 0.0336676
94.5 	 41 	 0.0509934
95 	 43 	 0.0237753
95.5 	 41 	 0.00516427
96 	 49 	 0.00737963
96.5 	 37 	 0.0353553
97 	 47 	 0.227937
97.5 	 26 	 0.012709
98 	 60 	 0.0135782
98.5 	 79 	 0.0134672
99 	 63 	 0.00895475
99.5 	 81 	 0.00474704
100 	 131 	 0.0394691
100.5 	 42 	 0.00724338
101 	 75 	 0.0362419
101.5 	 36 	 0.0525638
102 	 42 	 0.0171877
102.5 	 55 	 0.00992169
103 	 63 	 0.0565366
103.5 	 8 	 0.141802
104 	 31 	 0.131251
104.5 	 27 	 0.0159174
105 	 16 	 0.0250967
105.5 	 1 	 0.003159
106 	 23 	 0.00676761
106.5 	 4 	 0.0096425
107 	 3 	 0.0193973
107.5 	 21 	 0.00312405
108 	 16 	 0.00449706
108.5 	 40 	 0.116082
109 	 14 	 0.00665814
109.5 	 29 	 0.00941097
110 	 30 	 0.0367173
110.5 	 20 	 0.0343364
111 	 31 	 0.0820711
111.5 	 24 	 0.0509193
112 	 86 	 0.0489145
112.5 	 40 	 0.0013195
113 	 20 	 0.0027589
113.5 	 20 	 0.00250665
114 	 20 	 0.002528
114.5 	 20 	 0.0026852
115 	 35 	 0.00711831
115.5 	 46 	 0.00465459
116 	 57 	 0.00753482
116.5 	 49 	 0.016554
117 	 59 	 0.0103935
117.5 	 42 	 0.0201893
118 	 48 	 0.0585793
118.5 	 75 	 0.110088
119 	 63 	 0.0194335
119.5 	 57 	 0.139887
120 	 91 	 0.344679
120.5 	 87 	 0.0589842
121 	 29 	 0.0229199
121.5 	 55 	 0.035139
122 	 33 	 0.0482467
122.5 	 31 	 0.0195805
123 	 37 	 0.114455
123.5 	 23 	 0.0531203
124 	 45 	 0.0876638
124.5 	 74 	 0.035941
125 	 60 	 0.032268
125.5 	 60 	 0.0105552
126 	 57 	 0.0593622
126.5 	 52 	 0.0163801
127 	 40 	 0.00801295
127.5 	 41 	 0.0283477
128 	 25 	 0.00332828
128.5 	 20 	 0.00028645
