+28771651025.0ns 1 killed!
+29222380372.0ns 19 killed!
+29678786608.0ns 48 killed!
+29892535217.0ns 4 killed!
+30063631698.0ns 30 killed!
+30114843356.0ns 40 killed!
+30501239875.0ns 23 killed!
+31185112610.0ns 38 killed!
+31269584389.0ns 15 killed!
+31330578874.0ns 21 killed!
+31847391731.0ns 27 killed!
+32042841821.0ns 25 killed!
+32131803017.0ns 47 killed!
+32233676072.0ns 35 killed!
+32247835929.0ns 31 killed!
+32273733227.0ns 14 killed!
+32421128765.0ns 34 killed!
+32776835978.0ns 20 killed!
+32826814013.0ns 28 killed!
+35115979765.0ns 11 killed!
+35305020177.0ns 24 killed!
+35360994586.0ns 0 killed!
+35553435512.0ns 33 killed!
+35753602830.0ns 46 killed!
+35785855598.0ns 42 killed!
+37780631957.0ns 8 killed!
+39834559668.0ns 6 killed!
+40321181778.0ns 17 killed!
+42016587745.0ns 22 killed!
+43600549549.0ns 18 killed!
+44068819825.0ns 5 killed!
+44233416915.0ns 10 killed!
+46462239819.0ns 26 killed!
+49619185970.0ns 9 killed!
+50900050652.0ns 49 killed!
+58216695664.0ns 7 killed!
+63155928621.0ns 32 killed!
+70030530601.0ns 2 killed!
+70748783510.0ns 3 killed!
+71472719119.0ns 43 killed!
+71536983652.0ns 41 killed!
+72864469167.0ns 36 killed!
+73715654576.0ns 44 killed!
+80376156498.0ns 37 killed!
+81425768077.0ns 16 killed!
+89998342592.0ns 45 killed!


+59654893485.0ns 1 killed!
+62385292240.0ns 19 killed!
+63254004189.0ns 4 killed!
+63488167735.0ns 47 killed!
+63990347923.0ns 48 killed!
+64219721556.0ns 23 killed!
+64888118276.0ns 27 killed!
+65051459022.0ns 15 killed!
+66842473290.0ns 46 killed!
+68907536798.0ns 35 killed!
+70216625783.0ns 24 killed!
+71769560066.0ns 17 killed!
+71873140793.0ns 6 killed!
+72423975296.0ns 33 killed!
+73120630423.0ns 25 killed!
+73329999715.0ns 30 killed!
+75604274923.0ns 41 killed!
+75870644419.0ns 31 killed!
+76753941686.0ns 8 killed!
+76976673871.0ns 26 killed!
+77177924773.0ns 10 killed!
+79442769408.0ns 42 killed!
+79620802110.0ns 34 killed!
+80037895450.0ns 40 killed!
+81309490322.0ns 9 killed!
+84574305027.0ns 38 killed!
+86110541560.0ns 18 killed!
+91177015396.0ns 21 killed!
+92109514797.0ns 44 killed!
