+30664806905.0ns 1 killed!
+31108480056.0ns 19 killed!
+31464462754.0ns 48 killed!
+31471152875.0ns 4 killed!
+32029599211.0ns 40 killed!
+32335788680.0ns 30 killed!
+32485730595.0ns 23 killed!
+33696739326.0ns 25 killed!
+33853249844.0ns 47 killed!
+33877132199.0ns 15 killed!
+33922600267.0ns 34 killed!
+33957914262.0ns 27 killed!
+34346735629.0ns 35 killed!
+34469168028.0ns 31 killed!
+35505173839.0ns 21 killed!
+35521363301.0ns 38 killed!
+35538978101.0ns 28 killed!
+36097906117.0ns 24 killed!
+36323251399.0ns 20 killed!
+37000981857.0ns 14 killed!
+37125214826.0ns 33 killed!
+38051200332.0ns 8 killed!
+38578259666.0ns 46 killed!
+38756599831.0ns 11 killed!
+39035898882.0ns 0 killed!
+39317223450.0ns 17 killed!
+39493873017.0ns 6 killed!
+39929732132.0ns 22 killed!
+40205045934.0ns 10 killed!
+41544991672.0ns 5 killed!
+43450549537.0ns 9 killed!
+44025113525.0ns 42 killed!
+46956184639.0ns 26 killed!
+53975548468.0ns 18 killed!
+56125335383.0ns 49 killed!
+64765748738.0ns 7 killed!
+66030464963.0ns 3 killed!
+67016758813.0ns 2 killed!
+67658633296.0ns 32 killed!
+70680926270.0ns 44 killed!
+75137550976.0ns 43 killed!
+75801637678.0ns 36 killed!
+76359829574.0ns 41 killed!
+83244493724.0ns 45 killed!
+89703598768.0ns 37 killed!
+94634243621.0ns 16 killed!


+62614721954.0ns 1 killed!
+65453861154.0ns 19 killed!
+66988533807.0ns 47 killed!
+67876596482.0ns 23 killed!
+67946600571.0ns 27 killed!
+68662720583.0ns 4 killed!
+69169774759.0ns 48 killed!
+69214496644.0ns 15 killed!
+69252517256.0ns 46 killed!
+72478589457.0ns 35 killed!
+73946838736.0ns 17 killed!
+74035868948.0ns 24 killed!
+74927697618.0ns 6 killed!
+76061332457.0ns 33 killed!
+76131302466.0ns 30 killed!
+76304418854.0ns 31 killed!
+76544253368.0ns 25 killed!
+77331602421.0ns 41 killed!
+77584066716.0ns 8 killed!
+79353226299.0ns 26 killed!
+79686511497.0ns 10 killed!
+80924144474.0ns 42 killed!
+84426466524.0ns 18 killed!
+84500548853.0ns 40 killed!
+85050335936.0ns 9 killed!
+85125947277.0ns 34 killed!
+89045631507.0ns 38 killed!
+90699956967.0ns 44 killed!
+90971827758.0ns 49 killed!
+91681227574.0ns 0 killed!
+92176239774.0ns 5 killed!
+96928188198.0ns 11 killed!
+99825336383.0ns 21 killed!
+99925548960.0ns 22 killed!



