30 37.0059% 0.0334973s
40 47.5451% 0.0517319s
50 43.9956% 0.0632885s
60 40.3191% 0.0393627s
80 36.2335%
100 37.1408% 0.0401626s
120 31.8779% 0.0379986s
140 36.8726% 0.0374134s
150 37.0059% 0.0334973s
160 38.7316% 0.0320996s
