30 40.9561% 0.0443125s
40 47.5451% 0.0507565s
50 43.9956% 0.0504396s
60 47.2927% 0.0515017s
80 37.789% 0.0414835s
100 45.4212% 0.0349674s
120 33.7379% 0.0568258s
140 34.273% 0.0413613s
150 40.9561% 0.0443125s
160 34.724% 0.0306019s
