speed:const 300, time:20s
Node0 remaining power: 268.967
Node1 remaining power: 289.902
Node2 remaining power: 234.503
Node3 remaining power: 261.181
Node4 remaining power: 282.716
Node5 remaining power: 258.361
Node6 remaining power: 247.223
Node7 remaining power: 263.108
Node8 remaining power: 279.306
Node9 remaining power: 269.765
Node10 remaining power: 270.26
Node11 remaining power: 268.766
Node12 remaining power: 270.716
Node13 remaining power: 270.986
Node14 remaining power: 251.157
Node15 remaining power: 243.589
Node16 remaining power: 231.125
Node17 remaining power: 244.253
Node18 remaining power: 270.808
Node19 remaining power: 236.707
Node20 remaining power: 1225.47
Node21 remaining power: 1257.84
Node22 remaining power: 1251.64
Node23 remaining power: 1248.48
Node24 remaining power: 1223.04
Node25 remaining power: 1236.74
Node26 remaining power: 1254.9
Node27 remaining power: 1362.18
Node28 remaining power: 1249.69
Node29 remaining power: 1292.92
Node30 remaining power: 1349.54
Node31 remaining power: 1372.51
Node32 remaining power: 1347.15
Node33 remaining power: 1332.54
Node34 remaining power: 1299.32
Node35 remaining power: 1365.59
Node36 remaining power: 1394.89
Node37 remaining power: 1367.29
Node38 remaining power: 1357.52
Node39 remaining power: 1395.73
Node40 remaining power: 1440.78
Node41 remaining power: 1336.66
Node42 remaining power: 1397.97
Node43 remaining power: 1440.51
Node44 remaining power: 1433.5
Node45 remaining power: 1437.16
Node46 remaining power: 1438.05
Node47 remaining power: 1439.85
Node48 remaining power: 1443.6
Node49 remaining power: 1405.88

speed:const 250, time:20s
Node0 remaining power: 305.592
Node1 remaining power: 315.179
Node2 remaining power: 287.51
Node3 remaining power: 300.095
Node4 remaining power: 311.266
Node5 remaining power: 293.628
Node6 remaining power: 290.075
Node7 remaining power: 299.181
Node8 remaining power: 305.385
Node9 remaining power: 301.873
Node10 remaining power: 299.858
Node11 remaining power: 296.428
Node12 remaining power: 299.953
Node13 remaining power: 300.174
Node14 remaining power: 307.921
Node15 remaining power: 285.214
Node16 remaining power: 290.959
Node17 remaining power: 286.607
Node18 remaining power: 297.643
Node19 remaining power: 291.419
Node20 remaining power: 1282.14
Node21 remaining power: 1319.94
Node22 remaining power: 1283.03
Node23 remaining power: 1321.15
Node24 remaining power: 1288.06
Node25 remaining power: 1277.44
Node26 remaining power: 1328.85
Node27 remaining power: 1407.52
Node28 remaining power: 1312.05
Node29 remaining power: 1353.7
Node30 remaining power: 1408.17
Node31 remaining power: 1421.3
Node32 remaining power: 1410.05
Node33 remaining power: 1394.13
Node34 remaining power: 1358.36
Node35 remaining power: 1422.98
Node36 remaining power: 1445.15
Node37 remaining power: 1424.09
Node38 remaining power: 1416.6
Node39 remaining power: 1443.66
Node40 remaining power: 1470.91
Node41 remaining power: 1396.43
Node42 remaining power: 1449.29
Node43 remaining power: 1467.52
Node44 remaining power: 1463.6
Node45 remaining power: 1468.52
Node46 remaining power: 1468
Node47 remaining power: 1471.1
Node48 remaining power: 1472.75
Node49 remaining power: 1454.63

speed:const 200, time:20s
Node0 remaining power: 325.185
Node1 remaining power: 332.023
Node2 remaining power: 302.652
Node3 remaining power: 320.158
Node4 remaining power: 328.309
Node5 remaining power: 309.947
Node6 remaining power: 306.119
Node7 remaining power: 315.794
Node8 remaining power: 321.289
Node9 remaining power: 312.866
Node10 remaining power: 313.059
Node11 remaining power: 308.755
Node12 remaining power: 311.074
Node13 remaining power: 313.615
Node14 remaining power: 304.149
Node15 remaining power: 299.368
Node16 remaining power: 300.238
Node17 remaining power: 298.592
Node18 remaining power: 306.534
Node19 remaining power: 299.324
Node20 remaining power: 1296.44
Node21 remaining power: 1315.82
Node22 remaining power: 1295.09
Node23 remaining power: 1313.79
Node24 remaining power: 1298.3
Node25 remaining power: 1290.93
Node26 remaining power: 1327.55
Node27 remaining power: 1394.12
Node28 remaining power: 1323.09
Node29 remaining power: 1350.75
Node30 remaining power: 1405.5
Node31 remaining power: 1418.14
Node32 remaining power: 1406.29
Node33 remaining power: 1395.77
Node34 remaining power: 1365.83
Node35 remaining power: 1423.22
Node36 remaining power: 1445.11
Node37 remaining power: 1426.39
Node38 remaining power: 1420.07
Node39 remaining power: 1442.49
Node40 remaining power: 1473.14
Node41 remaining power: 1412.98
Node42 remaining power: 1452.34
Node43 remaining power: 1468.69
Node44 remaining power: 1463.09
Node45 remaining power: 1471.23
Node46 remaining power: 1470.86
Node47 remaining power: 1476.5
Node48 remaining power: 1477.11
Node49 remaining power: 1460.06

speed:const 150, time:20s
Node0 remaining power: 340.605
Node1 remaining power: 344.118
Node2 remaining power: 326.26
Node3 remaining power: 335.38
Node4 remaining power: 341.472
Node5 remaining power: 327.084
Node6 remaining power: 325.849
Node7 remaining power: 328.667
Node8 remaining power: 331.26
Node9 remaining power: 328.999
Node10 remaining power: 326.436
Node11 remaining power: 324.778
Node12 remaining power: 325.197
Node13 remaining power: 326.169
Node14 remaining power: 322.795
Node15 remaining power: 319.518
Node16 remaining power: 320.746
Node17 remaining power: 320.585
Node18 remaining power: 322.806
Node19 remaining power: 321.798
Node20 remaining power: 1320.22
Node21 remaining power: 1336.97
Node22 remaining power: 1313.26
Node23 remaining power: 1334.74
Node24 remaining power: 1324.19
Node25 remaining power: 1317.92
Node26 remaining power: 1357.68
Node27 remaining power: 1405.43
Node28 remaining power: 1353.37
Node29 remaining power: 1376.21
Node30 remaining power: 1419.13
Node31 remaining power: 1430.56
Node32 remaining power: 1424.63
Node33 remaining power: 1411.68
Node34 remaining power: 1391.42
Node35 remaining power: 1443.43
Node36 remaining power: 1454.79
Node37 remaining power: 1446.08
Node38 remaining power: 1441.39
Node39 remaining power: 1452.87
Node40 remaining power: 1474.95
Node41 remaining power: 1442.16
Node42 remaining power: 1464.01
Node43 remaining power: 1472.39
Node44 remaining power: 1470.76
Node45 remaining power: 1476.09
Node46 remaining power: 1475.56
Node47 remaining power: 1477.11
Node48 remaining power: 1478.67
Node49 remaining power: 1470.95

speed:const 100, time:20s
Node0 remaining power: 316.387
Node1 remaining power: 317.7
Node2 remaining power: 302.842
Node3 remaining power: 310.996
Node4 remaining power: 320.251
Node5 remaining power: 297.449
Node6 remaining power: 296.457
Node7 remaining power: 300.395
Node8 remaining power: 301.707
Node9 remaining power: 299.503
Node10 remaining power: 295.449
Node11 remaining power: 293.957
Node12 remaining power: 293.92
Node13 remaining power: 295.448
Node14 remaining power: 291.694
Node15 remaining power: 290.794
Node16 remaining power: 290.427
Node17 remaining power: 290.878
Node18 remaining power: 291.01
Node19 remaining power: 290.447
Node20 remaining power: 1286.47
Node21 remaining power: 1298.48
Node22 remaining power: 1279.07
Node23 remaining power: 1298.3
Node24 remaining power: 1293.2
Node25 remaining power: 1290.65
Node26 remaining power: 1331.11
Node27 remaining power: 1371.41
Node28 remaining power: 1324.3
Node29 remaining power: 1341.3
Node30 remaining power: 1398.46
Node31 remaining power: 1404.76
Node32 remaining power: 1398.53
Node33 remaining power: 1389.33
Node34 remaining power: 1361.2
Node35 remaining power: 1422.36
Node36 remaining power: 1434.83
Node37 remaining power: 1428.18
Node38 remaining power: 1422.78
Node39 remaining power: 1432.76
Node40 remaining power: 1466.34
Node41 remaining power: 1432.9
Node42 remaining power: 1455.48
Node43 remaining power: 1464.19
Node44 remaining power: 1461.35
Node45 remaining power: 1471.05
Node46 remaining power: 1470.16
Node47 remaining power: 1472.27
Node48 remaining power: 1474.22
Node49 remaining power: 1465.75

speed:const 50, time:20s
Node0 remaining power: 355.366
Node1 remaining power: 354.799
Node2 remaining power: 349.679
Node3 remaining power: 354.77
Node4 remaining power: 358.128
Node5 remaining power: 341.036
Node6 remaining power: 340.909
Node7 remaining power: 341.42
Node8 remaining power: 342.682
Node9 remaining power: 342.104
Node10 remaining power: 337.675
Node11 remaining power: 336.135
Node12 remaining power: 336.181
Node13 remaining power: 336.53
Node14 remaining power: 334.786
Node15 remaining power: 333.357
Node16 remaining power: 332.739
Node17 remaining power: 332.331
Node18 remaining power: 333.58
Node19 remaining power: 334.586
Node20 remaining power: 1336.76
Node21 remaining power: 1338.71
Node22 remaining power: 1332.08
Node23 remaining power: 1335.23
Node24 remaining power: 1335.55
Node25 remaining power: 1354
Node26 remaining power: 1365.5
Node27 remaining power: 1378.52
Node28 remaining power: 1363.45
Node29 remaining power: 1374.78
Node30 remaining power: 1408.89
Node31 remaining power: 1413.93
Node32 remaining power: 1406.52
Node33 remaining power: 1406.55
Node34 remaining power: 1399.54
Node35 remaining power: 1440.2
Node36 remaining power: 1441.87
Node37 remaining power: 1439.55
Node38 remaining power: 1438.46
Node39 remaining power: 1442.8
Node40 remaining power: 1468.89
Node41 remaining power: 1456.97
Node42 remaining power: 1462.11
Node43 remaining power: 1466.16
Node44 remaining power: 1465.39
Node45 remaining power: 1474.72
Node46 remaining power: 1474.24
Node47 remaining power: 1474.69
Node48 remaining power: 1475.92
Node49 remaining power: 1473.35
speed:const 10, time:20s
Node0 remaining power: 416.014
Node1 remaining power: 415.95
Node2 remaining power: 413.641
Node3 remaining power: 413.721
Node4 remaining power: 415.92
Node5 remaining power: 410.533
Node6 remaining power: 410.401
Node7 remaining power: 410.573
Node8 remaining power: 410.459
Node9 remaining power: 410.309
Node10 remaining power: 408.476
Node11 remaining power: 408.011
Node12 remaining power: 407.155
Node13 remaining power: 407.673
Node14 remaining power: 408.039
Node15 remaining power: 407.53
Node16 remaining power: 406.372
Node17 remaining power: 406.404
Node18 remaining power: 406.48
Node19 remaining power: 408.191
Node20 remaining power: 1410.79
Node21 remaining power: 1406.71
Node22 remaining power: 1405.9
Node23 remaining power: 1406.06
Node24 remaining power: 1409.83
Node25 remaining power: 1422.92
Node26 remaining power: 1420.86
Node27 remaining power: 1422.33
Node28 remaining power: 1422.76
Node29 remaining power: 1425.94
Node30 remaining power: 1451.28
Node31 remaining power: 1449.3
Node32 remaining power: 1447.26
Node33 remaining power: 1447.52
Node34 remaining power: 1448.96
Node35 remaining power: 1470.12
Node36 remaining power: 1470.1
Node37 remaining power: 1469.46
Node38 remaining power: 1469.73
Node39 remaining power: 1470.11
Node40 remaining power: 1479.56
Node41 remaining power: 1478.72
Node42 remaining power: 1478.76
Node43 remaining power: 1479.06
Node44 remaining power: 1479.16
Node45 remaining power: 1483.09
Node46 remaining power: 1482.84
Node47 remaining power: 1482.74
Node48 remaining power: 1482.88
Node49 remaining power: 1482.99
