Node16 remaining power: 224.697
Node17 remaining power: 227.85
Node18 remaining power: 235.525
Node19 remaining power: 225.055
Node20 remaining power: 1208.72
Node21 remaining power: 1206.64
Node22 remaining power: 1210.82
Node23 remaining power: 1206.59
Node24 remaining power: 1209.01
Node25 remaining power: 1209.38
Node26 remaining power: 1212
Node27 remaining power: 1227.76
Node28 remaining power: 1211.57
Node29 remaining power: 1214.97
Node30 remaining power: 1245.29
Node31 remaining power: 1247.41
Node32 remaining power: 1243.1
Node33 remaining power: 1241.88
Node34 remaining power: 1227.74
Node35 remaining power: 1265.64
Node36 remaining power: 1280.53
Node37 remaining power: 1273.06
Node38 remaining power: 1265.89
Node39 remaining power: 1276.87
Node40 remaining power: 1350.79
Node41 remaining power: 1291.02
Node42 remaining power: 1317.07
Node43 remaining power: 1339.37
Node44 remaining power: 1331.9
Node45 remaining power: 1368.69
Node46 remaining power: 1365.37
Node47 remaining power: 1375.67
Node48 remaining power: 1378.96
Node49 remaining power: 1344.14
speed:const 50,time=20s
Node0 remaining power: 275.861
Node1 remaining power: 276.62
Node2 remaining power: 266.845
Node3 remaining power: 274.027
Node4 remaining power: 280.441
Node5 remaining power: 252.667
Node6 remaining power: 250.731
Node7 remaining power: 252.096
Node8 remaining power: 254.707
Node9 remaining power: 254.11
Node10 remaining power: 241.9
Node11 remaining power: 241.894
Node12 remaining power: 240.852
Node13 remaining power: 244.131
Node14 remaining power: 235.814
Node15 remaining power: 229.228
Node16 remaining power: 225.417
Node17 remaining power: 226.048
Node18 remaining power: 233.112
Node19 remaining power: 225.57
Node20 remaining power: 1211.22
Node21 remaining power: 1209.89
Node22 remaining power: 1211.6
Node23 remaining power: 1210.06
Node24 remaining power: 1211.65
Node25 remaining power: 1211.76
Node26 remaining power: 1213.9
Node27 remaining power: 1218.19
Node28 remaining power: 1214
Node29 remaining power: 1215.35
Node30 remaining power: 1236.31
Node31 remaining power: 1240.14
Node32 remaining power: 1236.58
Node33 remaining power: 1234.82
Node34 remaining power: 1233.1
Node35 remaining power: 1263.97
Node36 remaining power: 1266.87
Node37 remaining power: 1261.84
Node38 remaining power: 1260.97
Node39 remaining power: 1266.91
Node40 remaining power: 1328.36
Node41 remaining power: 1292.29
Node42 remaining power: 1310.59
Node43 remaining power: 1324.25
Node44 remaining power: 1320.05
Node45 remaining power: 1355.46
Node46 remaining power: 1354.19
Node47 remaining power: 1357.36
Node48 remaining power: 1361.84
Node49 remaining power: 1350.74
speed:const 10, time=20s
Node0 remaining power: 318.818
Node1 remaining power: 318.095
Node2 remaining power: 318.435
Node3 remaining power: 318.617
Node4 remaining power: 318.563
Node5 remaining power: 308.826
Node6 remaining power: 309.269
Node7 remaining power: 309.319
Node8 remaining power: 309.551
Node9 remaining power: 309.102
Node10 remaining power: 298.415
Node11 remaining power: 297.772
Node12 remaining power: 297.977
Node13 remaining power: 298.677
Node14 remaining power: 298.014
Node15 remaining power: 293.902
Node16 remaining power: 293.549
Node17 remaining power: 293.542
Node18 remaining power: 294.027
Node19 remaining power: 293.684
Node20 remaining power: 1283
Node21 remaining power: 1282.82
Node22 remaining power: 1282.7
Node23 remaining power: 1282.87
Node24 remaining power: 1282.9
Node25 remaining power: 1292.94
Node26 remaining power: 1292.89
Node27 remaining power: 1292.8
Node28 remaining power: 1292.89
Node29 remaining power: 1292.71
Node30 remaining power: 1311.8
Node31 remaining power: 1311.76
Node32 remaining power: 1311.76
Node33 remaining power: 1311.77
Node34 remaining power: 1311.7
Node35 remaining power: 1347.09
Node36 remaining power: 1347.06
Node37 remaining power: 1346.84
Node38 remaining power: 1346.95
Node39 remaining power: 1346.82
Node40 remaining power: 1386.79
Node41 remaining power: 1386.64
Node42 remaining power: 1386.8
Node43 remaining power: 1386.83
Node44 remaining power: 1386.72
Node45 remaining power: 1417.05
Node46 remaining power: 1417.01
Node47 remaining power: 1417.04
Node48 remaining power: 1416.97
Node49 remaining power: 1417.05
